id_aluno,genero,ano_nasc,ano_ingresso,tipo_instituicao,pedra,inde,cf,ct,n_av,avaliador_1,rec_av_1,avaliador_2,rec_av_2,avaliador_3,rec_av_3,avaliador_4,rec_av_4,iaa,ieg,ips,rec_psicologia,ida,matem,portug,ingles,indicado_bolsa,ipv,ian,destaque_ieg,destaque_ida,destaque_ipv,ano,ipp,avaliador_5,avaliador_6,escola,fase,fase_ideal,fase_grupo,idade,tempo_vinculo,defas,atingiu_pv,em_risco
1007,1,2015.0,2023,Pública,Topázio,8.0782,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,7.4,7.52,,8.3,8.1,8.5,,,7.68,10.0,,,,2023,7.5,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1008,1,2015.0,2023,Pública,Topázio,8.13595,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,8.6,7.52,,8.4,7.5,9.2,,,7.5,10.0,,,,2023,5.9375,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1008,1,2015.0,2023,Pública,Agata,6.8667414438000005,,,2.0,Avaliador-3,,Avaliador-13,,,,,,7.002,6.483957219,7.51,,7.0,6.5,7.5,,,7.5,5.0,,,,2024,7.1875,,,EE Joaquim Mendes Feliz,0.0,1.0,fase_0_7,9.0,1,-1.0,False,True
1009,1,2015.0,2023,Pública,Ametista,7.245,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,9.0,3.77,,8.8,8.3,9.2,,,7.84,10.0,,,,2023,7.5,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1009,1,2015.0,2023,Pública,Agata,6.395389393900001,,,3.0,Avaliador-3,,Avaliador-13,,Avaliador-9,,,,8.002,6.8863636365000005,2.51,,7.5,10.0,5.0,,,6.553333333,5.0,,,,2024,6.5625,,,EE Dom Pedro Villas Boas de Souza,0.0,1.0,fase_0_7,9.0,1,-1.0,False,True
101,0,2007.0,2021,Escola Pública,Ametista,7.305,31.0,8.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.3,7.5,Não atendido,7.6,7.2,6.5,9.2,Sim,6.833,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,7.18399999999999,,,,4.0,5.0,fase_0_7,15.0,1,-1.0,False,True
1010,1,2015.0,2023,Pública,Topázio,8.70645,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,10.0,3.77,,9.4,9.0,9.8,,,8.59,10.0,,,,2023,7.8125,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1011,1,2015.0,2023,Pública,Ametista,7.33095,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,8.6,3.77,,5.2,5.5,4.8,,,7.675,10.0,,,,2023,7.1875,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1012,0,2015.0,2023,Pública,Ametista,7.96495,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,9.9,3.77,,6.6,7.0,6.2,,,7.845,10.0,,,,2023,7.1875,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1012,0,2015.0,2023,Pública,Topázio,8.057128571400002,,,3.0,Avaliador-3,,Avaliador-11,,Avaliador-9,,,,9.502,9.523809524,2.51,,9.75,10.0,9.5,,,8.443333333,5.0,,,,2024,8.125,,,EE Joaquim Mendes Feliz,0.0,1.0,fase_0_7,9.0,1,-1.0,True,True
1013,1,2015.0,2023,Pública,Ametista,7.6237,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.6,4.39,,8.3,7.0,9.5,,,5.76,10.0,,,,2023,5.625,,,,0.0,0.0,fase_0_7,8.0,0,0.0,False,False
1013,1,2015.0,2023,Pública,Quartzo,5.7839559808,,,3.0,Avaliador-3,,Avaliador-13,,Avaliador-9,,,,9.002,5.693779904,2.51,,7.75,8.0,7.5,,,4.72,5.0,,,,2024,5.0,,,EE Dom Pedro Villas Boas de Souza,0.0,1.0,fase_0_7,9.0,1,-1.0,False,True
1014,0,2016.0,2023,Pública,Topázio,8.2582,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.7,3.77,,8.2,7.7,8.7,,,8.255,10.0,,,,2023,7.5,,,,0.0,0.0,fase_0_7,7.0,0,0.0,False,False
1014,0,2016.0,2023,Pública,Agata,6.315972727300001,,,3.0,Avaliador-3,,Avaliador-13,,Avaliador-9,,,,8.502,7.8863636365,2.51,,5.25,6.5,4.0,,,7.0,5.0,,,,2024,6.875,,,EE Dom Pedro Villas Boas de Souza,0.0,1.0,fase_0_7,8.0,1,-1.0,False,True
1015,0,2013.0,2023,Pública,Ametista,7.538908333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,10.0,9.3,6.27,,6.3,5.0,7.6,,,7.786666667,5.0,,,,2023,7.34375,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1015,0,2013.0,2023,Pública,Agata,6.643252381000002,,,3.0,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,7.918,7.8214285715,7.51,,4.0,2.0,6.0,,,5.66,10.0,,,,2024,6.041666667,,,EE Alexandre Rodrigues Nogueira,2.0,2.0,fase_0_7,11.0,1,0.0,False,False
1016,0,2013.0,2023,Pública,Ametista,7.762575,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,10.0,9.5,7.52,,6.7,5.8,7.5,,,7.73,5.0,,,,2023,7.34375,,,,1.0,2.0,fase_0_7,10.0,0,-1.0,False,True
1017,1,2012.0,2023,Pública,Agata,6.505333333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,0.0,8.0,5.02,,7.7,7.0,8.3,,,8.116666667,5.0,,,,2023,7.5,,,,1.0,2.0,fase_0_7,11.0,0,-1.0,False,True
1017,1,2012.0,2023,Pública,Ametista,7.345521428500001,,,3.0,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,7.8095238095,6.26,,5.0,2.5,7.5,,,7.443333333,10.0,,,,2024,7.1875,,,EE João Ortiz Rodrigues,2.0,2.0,fase_0_7,12.0,1,0.0,False,False
1018,1,2013.0,2023,Pública,Agata,6.824,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,0.0,8.5,5.02,,6.3,5.8,6.8,,,8.06,10.0,,,,2023,7.5,,,,1.0,1.0,fase_0_7,10.0,0,0.0,False,False
1018,1,2013.0,2023,Pública,Ametista,7.7054045454,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,8.502,7.727272727,6.26,,8.25,8.5,8.0,,,8.45,5.0,,,,2024,8.4375,,,EE Dom Pedro Villas Boas de Souza,1.0,2.0,fase_0_7,11.0,1,-1.0,True,True
1019,0,2015.0,2023,Pública,Ametista,7.177033333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,7.5,9.1,5.02,,4.3,0.5,8.0,,,7.836666667,10.0,,,,2023,6.875,,,,1.0,0.0,fase_0_7,8.0,0,1.0,False,False
1019,0,2015.0,2023,Pública,Topázio,8.692255194900001,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.502,9.3073593075,6.26,,8.75,9.5,8.0,,,8.616666667,10.0,,,,2024,7.8125,,,EM Etelvina Delfim Simões,1.0,1.0,fase_0_7,9.0,1,0.0,True,False
102,1,2008.0,2019,Escola Pública,Ágata,6.922,43.0,9.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,6.7,7.7,6.9,Requer avaliação,5.7,4.7,6.8,5.5,Não,6.0,10.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,6.819999999999986,,,,4.0,4.0,fase_0_7,14.0,3,0.0,False,False
1020,0,2014.0,2023,Pública,Ametista,7.612283333,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,10.0,9.1,2.52,,6.1,4.3,7.8,,,8.056666667,10.0,,,,2023,7.1875,,,,1.0,1.0,fase_0_7,9.0,0,0.0,False,False
1020,0,2014.0,2023,Pública,Topázio,8.9544954545,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.002,9.7727272725,6.88,,9.0,10.0,8.0,,,8.84,10.0,,,,2024,8.4375,,,EE Dom Pedro Villas Boas de Souza,1.0,1.0,fase_0_7,10.0,1,0.0,True,False
1021,1,2014.0,2023,Pública,Agata,6.964616667,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,8.0,9.2,3.77,,3.3,2.5,4.0,,,7.893333333,10.0,,,,2023,7.1875,,,,1.0,1.0,fase_0_7,9.0,0,0.0,False,False
1021,1,2014.0,2023,Pública,Topázio,8.0985863636,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.502,9.318181818,7.51,,8.0,9.0,7.0,,,7.95,5.0,,,,2024,8.4375,,,EE Dom Pedro Villas Boas de Souza,1.0,2.0,fase_0_7,10.0,1,-1.0,False,True
1022,1,2014.0,2023,Pública,Ametista,7.164616667,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-3,,,,8.5,8.5,3.77,,4.7,4.7,4.7,,,7.893333333,10.0,,,,2023,7.1875,,,,1.0,1.0,fase_0_7,9.0,0,0.0,False,False
1022,1,2014.0,2023,Pública,Ametista,7.613169697000002,,,3.0,Avaliador-14,,Avaliador-3,,Avaliador-15,,,,9.502,9.318181818,6.26,,6.5,5.5,7.5,,,8.116666667,5.0,,,,2024,7.5,,,EE Dom Pedro Villas Boas de Souza,1.0,2.0,fase_0_7,10.0,1,-1.0,False,True
