id_aluno,ano,ieg,ida,ipv
97,2022,8.8,6.9,6.292
98,2022,10.0,8.5,9.667
98,2023,,,
98,2024,9.546,8.9,7.5
99,2022,6.3,5.0,5.833
99,2023,8.3,4.5,7.4225
100,2022,7.8,7.6,7.25
101,2022,8.3,7.6,6.833
102,2022,7.7,5.7,6.0
103,2022,8.7,7.3,7.708
103,2023,9.2,7.1,8.09
103,2024,9.603174603333336,9.166666666666666,8.872
104,2022,8.7,3.7,6.708
104,2023,7.7,2.6,5.6275
105,2022,8.2,6.7,7.417
106,2022,8.0,7.4,8.375
106,2023,9.1,7.3,7.5075
106,2024,8.761904762,5.666666666666667,7.872
107,2022,6.4,4.6,6.5
107,2023,8.5,7.0,7.5875
107,2024,7.9949874686666655,4.666666666666667,6.964
108,2022,7.7,5.0,6.125
108,2023,7.3,2.9,5.59
109,2022,10.0,8.4,8.667
109,2023,9.9,8.3,8.59
110,2022,9.7,6.7,8.0
110,2023,8.6,7.5,8.2975
110,2024,9.696969697,8.5,8.504
111,2022,9.4,8.0,8.667
111,2023,8.7,6.0,8.0875
111,2024,9.488636363666666,8.333333333333334,8.74
112,2022,7.8,8.5,8.833
112,2023,8.1,7.4,7.9225
112,2024,7.978174603333333,8.0,8.004
113,2022,0.0,3.7,3.792
113,2024,7.063851181666667,6.666666666666667,7.106666667
114,2022,6.3,5.3,5.0
114,2023,6.0,5.6,7.255
115,2022,6.8,3.8,5.583
115,2023,7.1,4.2,7.215
115,2024,4.164756812,4.166666666666667,5.726
116,2022,8.1,5.9,7.792
116,2023,7.6,4.7,7.5475
116,2024,7.535353535666666,4.5,6.73
117,2022,6.3,6.1,7.417
118,2022,5.3,3.9,6.958
119,2022,8.2,5.4,7.875
119,2023,,,
119,2024,9.983333333,7.366666666666667,7.5
120,2022,5.9,6.2,7.667
121,2022,8.4,7.2,7.625
121,2023,8.8,6.0,7.4625
121,2024,8.152958153,8.833333333333334,6.764
122,2022,3.4,1.8,4.958
123,2022,8.6,6.5,7.292
123,2023,9.4,5.7,6.8375
123,2024,8.412698412666666,7.166666666666667,6.43
124,2022,7.8,6.7,7.167
125,2022,8.5,7.1,7.75
125,2023,7.7,5.8,7.835
125,2024,5.6428571430000005,6.166666666666667,7.232
126,2022,5.8,4.4,7.417
127,2022,8.7,7.9,8.125
127,2023,7.8,6.4,8.6725
127,2024,9.488636363666666,7.833333333333333,8.538
128,2022,6.2,5.6,6.167
128,2023,7.3,5.7,7.5475
129,2022,6.4,6.7,7.792
130,2022,4.7,4.1,6.5
131,2022,9.0,5.6,7.75
131,2023,7.8,2.2,6.8
131,2024,9.444444444666669,5.0,7.386666667
132,2022,8.8,7.7,8.458
132,2023,8.7,6.5,7.715
132,2024,8.380952380666665,8.333333333333334,8.44
133,2022,7.1,5.6,7.625
133,2023,7.9,5.3,6.505
134,2022,6.8,4.7,7.375
135,2022,7.8,8.6,8.583
136,2022,6.3,4.6,6.667
137,2022,8.9,7.3,7.792
137,2023,6.3,6.0,6.88
137,2024,7.582972583,6.833333333333333,6.276666667
138,2022,8.0,5.6,6.375
138,2023,7.9,4.3,7.4175
138,2024,8.751803751666666,5.833333333333333,7.443333333
139,2022,3.5,1.4,3.917
140,2022,7.6,5.7,7.667
141,2022,8.2,5.7,5.917
141,2023,8.4,4.5,7.0425
142,2022,8.6,6.3,7.583
143,2022,9.9,7.9,9.5
143,2023,9.6,6.5,8.3375
143,2024,9.92,2.6333333333333333,7.5
144,2022,9.3,7.9,8.292
144,2023,5.2,4.4,6.0
145,2022,6.3,5.2,7.25
145,2023,9.0,6.2,7.4625
146,2022,9.2,7.9,8.208
146,2023,9.5,7.9,8.2125
146,2024,9.514316093333331,9.333333333333334,8.304
147,2022,7.7,6.1,7.25
147,2023,7.0,4.5,7.46
147,2024,9.277056277,6.166666666666667,7.386666667
148,2022,7.9,5.3,7.708
149,2022,6.5,5.0,6.125
149,2023,4.2,4.7,7.2925
149,2024,4.104378593666667,3.8333333333333335,6.626
150,2022,6.3,6.9,7.333
151,2022,7.5,8.3,7.958
151,2023,7.8,7.9,8.1725
152,2022,7.0,6.5,6.292
152,2023,7.7,4.5,7.71
152,2024,7.337719298333333,5.166666666666667,7.443333333
153,2022,8.2,6.6,7.708
153,2023,7.4,6.4,7.71
153,2024,0.0,0.0,7.5
154,2022,6.1,4.0,6.833
155,2022,8.3,5.2,6.833
155,2023,8.1,4.4,6.5875
155,2024,,,
156,2022,8.3,4.4,7.792
157,2022,10.0,7.7,8.292
157,2023,9.9,6.8,8.63
157,2024,10.0,9.666666666666666,8.726666667
158,2022,9.8,6.6,8.125
158,2023,9.0,6.0,7.545
158,2024,7.796296296333334,4.0,6.745
159,2022,8.1,4.7,6.458
159,2023,8.1,6.3,7.8775
160,2022,7.2,5.3,8.25
160,2023,8.3,5.0,7.46
160,2024,7.416666666666667,5.666666666666667,7.723333333
161,2022,9.1,6.9,8.083
161,2023,7.3,5.8,7.795
161,2024,7.965686274666666,4.0,7.836666667
162,2022,8.5,5.5,6.542
163,2022,7.9,6.7,6.5
164,2022,7.3,6.5,7.208
164,2023,8.2,5.8,6.9625
164,2024,8.084795321666666,5.666666666666667,6.886666667
165,2022,9.8,7.6,7.5
165,2023,9.2,7.3,7.795
165,2024,9.431042884999998,8.5,7.893333333
166,2022,9.0,8.1,7.542
166,2023,8.9,8.1,7.4625
166,2024,9.246,8.266666666666667,7.5
167,2022,9.7,7.9,7.833
167,2023,9.9,7.9,7.8375
167,2024,9.473684210666669,8.166666666666666,8.334
168,2022,8.3,5.9,7.083
168,2023,9.6,4.7,6.4225
169,2022,5.1,3.2,4.792
170,2022,9.2,4.9,5.792
170,2023,8.9,7.2,7.6725
170,2024,8.5,8.0,8.028333333
171,2022,6.8,5.5,6.875
171,2023,7.2,5.2,6.755
171,2024,7.833333333333333,8.333333333333334,7.598
172,2022,8.9,7.3,8.917
172,2023,,,
172,2024,9.8,6.933333333333334,7.5
173,2022,9.2,7.9,9.25
173,2023,8.5,8.1,7.8775
173,2024,,,
174,2022,6.2,4.4,6.042
174,2023,5.6,5.1,7.2125
175,2022,9.2,5.9,5.833
175,2023,9.2,4.8,7.085
175,2024,9.473684210666669,8.5,7.766
176,2022,9.1,6.9,9.083
176,2023,9.5,8.0,9.0025
176,2024,9.545454545333332,8.833333333333334,8.545
177,2022,8.8,6.8,6.958
178,2022,8.8,6.3,8.458
178,2023,8.7,5.9,8.42
178,2024,8.739177489333334,4.166666666666667,6.53
179,2022,9.2,6.1,8.042
179,2023,9.4,6.4,8.9225
179,2024,9.407894737,8.166666666666666,8.44
180,2022,8.3,8.1,8.625
180,2023,9.4,8.0,8.92
180,2024,9.431818181666666,8.5,8.674
181,2022,9.5,6.8,8.458
181,2023,8.3,6.8,8.2525
181,2024,8.737373737333334,4.333333333333333,8.436
182,2022,8.0,4.1,6.958
183,2022,8.8,3.8,7.25
183,2023,9.7,7.7,8.795
183,2024,9.249011857666666,7.5,8.372
184,2022,7.7,7.2,8.0
184,2023,9.5,7.1,8.5025
184,2024,8.696741854666667,8.166666666666666,9.004
185,2022,7.7,4.5,6.875
186,2022,8.5,6.6,7.5
186,2023,9.7,6.9,8.46
186,2024,9.640151515,7.166666666666667,8.672
187,2022,8.9,5.8,7.917
187,2023,9.9,6.9,8.255
187,2024,9.537037037,7.833333333333333,9.06
188,2022,6.1,2.7,7.583
189,2022,9.7,7.2,7.333
189,2023,9.4,6.5,8.3775
189,2024,10.0,8.166666666666666,8.2
190,2022,6.9,6.3,7.25
190,2023,9.5,5.7,7.9575
191,2022,9.4,7.2,8.5
191,2023,9.7,7.8,8.4625
